,experiment,policy,Gain,Final Value,Initial Value,num_stocks,pct_variance,initial_budget,trading_fee,average_error,status,runtime,leftover_cash
0,20_103007_102124_7,Naive,0.005742231004950587,103598.48998912695,103007.0,20,0.00019568485133932513,103007,7,8.017038107649071,Complete,3.637532949447632,2.1699891269489626
1,20_103007_102124_7,DayTrading,0.01644985291475274,104701.44999918994,103007.0,20,0.00019568485133932513,103007,7,8.017038107649071,Complete,915.6011810302734,0.3699991899345165
2,20_103007_102124_7,Directional,0.010354927335035529,104073.63,103007.0,20,0.00019568485133932513,103007,7,8.017038107649071,Infeasible,62.30203914642334,11.919999999991738
3,20_105931_104738_9,Naive,-0.0716396525929817,98342.13996117286,105931.0,20,0.0002350733655326871,105931,9,8.476497741331544,Complete,3.5768818855285645,4.2399611728467335
4,20_105931_104738_9,DayTrading,-0.024021769019093666,103386.34998603839,105931.0,20,0.0002350733655326871,105931,9,8.476497741331544,Complete,529.7117352485657,1.5399860384060986
5,20_105931_104738_9,Directional,-0.07236210363349727,98265.61,105931.0,20,0.0002350733655326871,105931,9,8.476497741331544,Complete,28.855919361114502,0.5100000000059595
6,20_133900_133194_6,Naive,0.022062434590146618,136854.15999162063,133900.0,20,0.00028536623999062156,133900,6,7.4436193607055605,Complete,3.5540173053741455,0.5399916206238231
7,20_133900_133194_6,DayTrading,0.0667146377895196,142833.09000001667,133900.0,20,0.00028536623999062156,133900,6,7.4436193607055605,Complete,98.98542022705078,0.009996290323613266
8,20_133900_133194_6,Directional,0.02422233009708756,137143.37000000002,133900.0,20,0.00028536623999062156,133900,6,7.4436193607055605,Infeasible,24.62311029434204,5.620000000011679
9,20_136604_136414_8,Naive,0.04315555904268839,142499.2219874674,136604.0,20,0.00013260609244386616,136604,8,6.33688182006698,Complete,3.570206880569458,3.6699874674174
10,20_136604_136414_8,DayTrading,0.012683010746449746,138336.55000000802,136604.0,20,0.00013260609244386616,136604,8,6.33688182006698,Infeasible,140.63076663017273,28.649987710523856
11,20_136604_136414_8,Directional,0.04085272027173428,142184.645,136604.0,20,0.00013260609244386616,136604,8,6.33688182006698,Infeasible,34.651665687561035,20.899999999993895
12,20_175322_174598_4,Naive,-0.0030305381131865623,174790.6799969199,175322.0,20,0.0001710876479857784,175322,4,8.703723862210756,Complete,3.6205904483795166,1.3999969199468296
13,20_175322_174598_4,DayTrading,-0.10785680062969857,156412.33,175322.0,20,0.0001710876479857784,175322,4,8.703723862210756,Infeasible,79.10923504829407,16.77999999997733
14,20_175322_174598_4,Directional,-0.0023015936391325076,174918.48,175322.0,20,0.0001710876479857784,175322,4,8.703723862210756,Infeasible,13.618851900100708,3835.7399999999966
15,20_189842_189531_7,Naive,0.03454225089434763,196399.56999428474,189842.0,20,0.00012945619110612297,189842,7,8.595356924772862,Complete,3.6262190341949463,0.3699942847217699
16,20_189842_189531_7,DayTrading,0.09694577596069705,208246.37999993065,189842.0,20,0.00012945619110612297,189842,7,8.595356924772862,Complete,64.96467208862305,4.34999993060438
