Date,"1 Mo","3 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr","30 Yr"
12/31/2009,0.04,0.06,0.20,0.47,1.14,1.70,2.69,3.39,3.85,4.58,4.63
12/30/2009,0.02,0.05,0.19,0.45,1.08,1.65,2.61,3.34,3.80,4.54,4.61
12/29/2009,0.02,0.10,0.20,0.47,1.09,1.64,2.62,3.33,3.82,4.57,4.64
12/28/2009,0.03,0.11,0.20,0.47,1.09,1.63,2.62,3.34,3.85,4.61,4.69
12/24/2009,0.02,0.05,0.18,0.43,1.00,1.56,2.57,3.32,3.82,4.60,4.68
12/23/2009,0.01,0.07,0.17,0.41,0.96,1.51,2.51,3.26,3.77,4.54,4.61
12/22/2009,0.01,0.08,0.18,0.41,0.95,1.48,2.49,3.24,3.76,4.52,4.60
12/21/2009,0.01,0.08,0.17,0.40,0.89,1.42,2.43,3.18,3.69,4.47,4.56
12/18/2009,0.01,0.05,0.16,0.36,0.82,1.32,2.30,3.04,3.55,4.36,4.46
12/17/2009,0.01,0.04,0.15,0.35,0.77,1.27,2.24,2.97,3.50,4.31,4.42
12/16/2009,0.02,0.04,0.17,0.38,0.85,1.36,2.35,3.09,3.61,4.42,4.52
12/15/2009,0.02,0.05,0.17,0.41,0.88,1.38,2.35,3.08,3.60,4.42,4.52
12/14/2009,0.02,0.04,0.16,0.37,0.87,1.35,2.30,3.04,3.56,4.39,4.49
12/11/2009,0.01,0.03,0.16,0.35,0.83,1.30,2.26,3.02,3.55,4.39,4.49
12/10/2009,0.01,0.02,0.15,0.32,0.78,1.26,2.19,2.95,3.49,4.37,4.50
12/09/2009,0.01,0.03,0.14,0.31,0.76,1.23,2.15,2.89,3.45,4.31,4.41
12/08/2009,0.02,0.03,0.15,0.29,0.73,1.21,2.12,2.86,3.40,4.28,4.39
12/07/2009,0.07,0.04,0.16,0.32,0.78,1.26,2.19,2.92,3.44,4.29,4.40
12/04/2009,0.08,0.06,0.17,0.36,0.84,1.34,2.24,2.97,3.48,4.31,4.40
12/03/2009,0.09,0.06,0.16,0.30,0.74,1.23,2.14,2.87,3.39,4.23,4.33
