Date,"1 Mo","2 Mo","3 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr","30 Yr"
12/31/2018,2.44,2.45,2.45,2.56,2.63,2.48,2.46,2.51,2.59,2.69,2.87,3.02
12/28/2018,2.39,2.47,2.40,2.48,2.57,2.52,2.50,2.56,2.63,2.72,2.89,3.04
12/27/2018,2.43,2.46,2.41,2.49,2.58,2.56,2.55,2.60,2.68,2.77,2.92,3.05
12/26/2018,2.41,2.43,2.44,2.54,2.61,2.61,2.60,2.67,2.74,2.81,2.94,3.06
12/24/2018,2.42,2.43,2.45,2.52,2.61,2.55,2.56,2.58,2.66,2.74,2.88,3.00
12/21/2018,2.41,2.42,2.39,2.54,2.62,2.63,2.61,2.64,2.72,2.79,2.92,3.03
12/20/2018,2.42,2.42,2.39,2.55,2.64,2.67,2.65,2.65,2.72,2.79,2.92,3.02
12/19/2018,2.35,2.39,2.40,2.54,2.62,2.63,2.61,2.62,2.69,2.77,2.89,3.00
12/18/2018,2.35,2.39,2.39,2.53,2.64,2.65,2.64,2.65,2.74,2.82,2.96,3.07
12/17/2018,2.36,2.39,2.40,2.54,2.66,2.70,2.68,2.69,2.77,2.86,3.00,3.11
12/14/2018,2.36,2.41,2.42,2.56,2.68,2.73,2.72,2.73,2.81,2.89,3.03,3.14
12/13/2018,2.36,2.40,2.43,2.56,2.69,2.75,2.76,2.75,2.83,2.91,3.05,3.16
12/12/2018,2.30,2.38,2.43,2.56,2.70,2.77,2.78,2.77,2.84,2.91,3.04,3.15
12/11/2018,2.28,2.36,2.41,2.55,2.70,2.78,2.78,2.75,2.81,2.89,3.02,3.13
12/10/2018,2.32,2.39,2.41,2.54,2.69,2.72,2.73,2.71,2.77,2.85,3.00,3.13
12/07/2018,2.32,2.40,2.40,2.54,2.68,2.72,2.72,2.70,2.77,2.85,3.01,3.14
12/06/2018,2.36,2.42,2.41,2.56,2.70,2.75,2.76,2.75,2.80,2.87,3.01,3.14
12/04/2018,2.37,2.42,2.42,2.58,2.71,2.80,2.81,2.79,2.84,2.91,3.05,3.16
12/03/2018,2.30,2.35,2.38,2.56,2.72,2.83,2.84,2.83,2.90,2.98,3.15,3.27
11/30/2018,2.31,2.33,2.37,2.52,2.70,2.80,2.83,2.84,2.92,3.01,3.19,3.30
11/29/2018,2.31,2.34,2.37,2.52,2.69,2.81,2.83,2.85,2.94,3.03,3.21,3.33
11/28/2018,2.31,2.37,2.40,2.53,2.69,2.81,2.84,2.87,2.97,3.06,3.23,3.34
11/27/2018,2.31,2.37,2.41,2.53,2.70,2.83,2.86,2.89,2.98,3.06,3.22,3.32
11/26/2018,2.24,2.35,2.41,2.54,2.70,2.84,2.86,2.90,2.98,3.07,3.22,3.32
11/23/2018,2.25,2.35,2.41,2.52,2.67,2.81,2.83,2.88,2.97,3.05,3.21,3.31
11/21/2018,2.25,2.34,2.41,2.52,2.67,2.81,2.84,2.89,2.98,3.06,3.22,3.31
11/20/2018,2.23,2.35,2.39,2.51,2.67,2.79,2.83,2.88,2.97,3.06,3.22,3.31
11/19/2018,2.23,2.32,2.38,2.52,2.66,2.79,2.82,2.87,2.97,3.06,3.22,3.32
11/16/2018,2.21,2.31,2.36,2.50,2.68,2.81,2.85,2.90,2.99,3.08,3.23,3.33
