Date,"1 Mo","3 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr"
12/31/2003,0.90,0.95,1.02,1.26,1.84,2.37,3.25,3.77,4.27,5.10
12/30/2003,0.88,0.94,1.02,1.28,1.86,2.39,3.26,3.80,4.29,5.12
12/29/2003,0.79,0.90,1.03,1.31,1.86,2.37,3.23,3.76,4.24,5.07
12/26/2003,0.76,0.87,0.99,1.27,1.82,2.33,3.17,3.67,4.17,4.99
12/24/2003,0.87,0.90,1.00,1.28,1.83,2.36,3.20,3.72,4.20,5.02
12/23/2003,0.89,0.90,1.00,1.31,1.96,2.47,3.30,3.81,4.28,5.09
12/22/2003,0.88,0.90,0.99,1.27,1.84,2.37,3.19,3.70,4.18,5.02
12/19/2003,0.87,0.88,0.96,1.25,1.82,2.35,3.16,3.67,4.15,4.99
12/18/2003,0.86,0.89,0.96,1.24,1.85,2.38,3.17,3.67,4.16,4.99
12/17/2003,0.85,0.90,0.99,1.26,1.83,2.37,3.18,3.70,4.19,5.05
12/16/2003,0.88,0.91,1.00,1.28,1.83,2.37,3.21,3.74,4.24,5.10
12/15/2003,0.87,0.90,1.01,1.30,1.88,2.41,3.26,3.79,4.28,5.13
12/12/2003,0.88,0.91,0.99,1.28,1.84,2.40,3.23,3.75,4.26,5.12
12/11/2003,0.87,0.90,0.99,1.27,1.83,2.37,3.21,3.76,4.27,5.14
12/10/2003,0.92,0.93,1.03,1.33,1.94,2.48,3.28,3.82,4.30,5.16
12/09/2003,0.93,0.93,1.04,1.35,1.97,2.51,3.33,3.85,4.32,5.18
12/08/2003,0.94,0.93,1.03,1.33,1.94,2.48,3.28,3.81,4.29,5.15
12/05/2003,0.93,0.92,1.01,1.30,1.88,2.42,3.23,3.76,4.23,5.09
12/04/2003,0.94,0.93,1.04,1.38,2.06,2.61,3.42,3.93,4.38,5.22
12/03/2003,0.96,0.94,1.04,1.39,2.09,2.63,3.46,3.98,4.41,5.25
12/02/2003,0.96,0.94,1.04,1.38,2.07,2.60,3.43,3.95,4.38,5.22
12/01/2003,0.96,0.95,1.06,1.41,2.12,2.64,3.46,3.98,4.40,5.23
11/28/2003,0.96,0.93,1.04,1.39,2.06,2.56,3.38,3.89,4.34,5.20
11/26/2003,0.97,0.94,1.04,1.35,1.97,2.48,3.27,3.79,4.25,5.12
11/25/2003,0.97,0.95,1.03,1.32,1.89,2.40,3.20,3.72,4.19,5.07
11/24/2003,0.94,0.96,1.04,1.33,1.94,2.44,3.24,3.76,4.23,5.11
11/21/2003,0.93,0.94,1.02,1.29,1.84,2.35,3.15,3.67,4.15,5.05
11/20/2003,0.93,0.95,1.01,1.28,1.83,2.35,3.14,3.67,4.16,5.06
11/19/2003,0.94,0.95,1.03,1.32,1.90,2.42,3.22,3.75,4.24,5.12
11/18/2003,0.95,0.96,1.04,1.30,1.83,2.32,3.14,3.66,4.17,5.05
11/17/2003,0.93,0.96,1.04,1.29,1.80,2.31,3.14,3.68,4.18,5.07
11/14/2003,0.92,0.95,1.04,1.31,1.84,2.36,3.19,3.70,4.22,5.10
11/13/2003,0.91,0.94,1.04,1.33,1.92,2.45,3.29,3.79,4.30,5.16
11/12/2003,0.92,0.95,1.06,1.39,2.05,2.59,3.45,3.95,4.44,5.29
11/10/2003,0.92,0.97,1.07,1.39,2.06,2.63,3.49,4.00,4.49,5.34
11/07/2003,0.95,0.96,1.07,1.40,2.04,2.60,3.47,3.99,4.48,5.33
11/06/2003,0.95,0.96,1.06,1.38,2.01,2.55,3.43,3.96,4.45,5.32
11/05/2003,0.96,0.96,1.05,1.35,1.94,2.46,3.35,3.88,4.38,5.24
11/04/2003,0.97,0.95,1.03,1.31,1.86,2.40,3.28,3.81,4.33,5.19
11/03/2003,0.97,0.96,1.05,1.33,1.90,2.44,3.34,3.88,4.40,5.25
10/31/2003,0.96,0.96,1.04,1.31,1.85,2.36,3.27,3.80,4.33,5.20
10/30/2003,0.97,0.96,1.04,1.32,1.86,2.39,3.29,3.83,4.36,5.25
10/29/2003,0.98,0.96,1.04,1.29,1.79,2.32,3.20,3.76,4.31,5.21
10/28/2003,0.98,0.96,1.03,1.25,1.71,2.23,3.11,3.67,4.23,5.14
10/27/2003,0.95,0.98,1.05,1.31,1.83,2.35,3.21,3.75,4.30,5.19
10/24/2003,0.92,0.95,1.03,1.27,1.76,2.26,3.13,3.68,4.24,5.14
10/23/2003,0.92,0.96,1.03,1.30,1.84,2.37,3.24,3.81,4.34,5.25
10/22/2003,0.92,0.96,1.03,1.28,1.80,2.33,3.21,3.77,4.29,5.19
10/21/2003,0.92,0.93,1.04,1.32,1.89,2.41,3.31,3.86,4.38,5.28
10/20/2003,0.90,0.95,1.04,1.32,1.88,2.42,3.33,3.89,4.41,5.30
10/17/2003,0.90,0.93,1.02,1.31,1.90,2.41,3.33,3.90,4.41,5.32
10/16/2003,0.90,0.93,1.03,1.34,1.96,2.47,3.40,3.97,4.47,5.38
10/15/2003,0.90,0.93,1.01,1.27,1.79,2.32,3.30,3.88,4.43,5.36
10/14/2003,0.89,0.93,1.01,1.23,1.73,2.25,3.23,3.82,4.37,5.32
10/10/2003,0.89,0.92,1.00,1.21,1.65,2.18,3.15,3.72,4.29,5.23
10/09/2003,0.90,0.91,1.00,1.22,1.69,2.20,3.17,3.77,4.32,5.27
10/08/2003,0.88,0.91,1.00,1.21,1.65,2.17,3.14,3.72,4.27,5.22
10/07/2003,0.85,0.92,1.01,1.21,1.67,2.19,3.15,3.73,4.27,5.21
10/06/2003,0.87,0.94,0.97,1.15,1.60,2.11,3.06,3.63,4.17,5.10
10/03/2003,0.87,0.94,1.01,1.20,1.65,2.17,3.12,3.69,4.21,5.15
10/02/2003,0.86,0.94,1.00,1.14,1.48,1.96,2.90,3.48,4.03,4.97
10/01/2003,0.88,0.95,1.00,1.13,1.47,1.93,2.84,3.40,3.96,4.92
09/30/2003,0.87,0.95,1.01,1.15,1.50,1.95,2.85,3.41,3.96,4.91
09/29/2003,0.87,0.96,1.03,1.21,1.61,2.07,2.98,3.54,4.09,5.03
09/26/2003,0.87,0.94,1.02,1.21,1.60,2.06,2.95,3.49,4.04,4.98
09/25/2003,0.88,0.94,1.02,1.21,1.65,2.14,3.05,3.59,4.12,5.04
09/24/2003,0.89,0.95,1.02,1.22,1.66,2.15,3.07,3.62,4.16,5.09
09/23/2003,0.89,0.93,1.03,1.24,1.68,2.20,3.13,3.70,4.24,5.16
09/22/2003,0.88,0.95,1.04,1.24,1.70,2.21,3.16,3.73,4.26,5.20
