Date,"3 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr","30 Yr"
12/31/1999,5.33,5.74,5.98,6.24,6.29,6.36,6.55,6.45,6.83,6.48
12/30/1999,5.22,5.68,5.93,6.19,6.23,6.30,6.48,6.39,6.78,6.43
12/29/1999,5.23,5.68,5.93,6.21,6.25,6.32,6.50,6.40,6.79,6.45
12/28/1999,5.41,5.73,5.96,6.23,6.28,6.35,6.55,6.43,6.82,6.48
12/27/1999,5.47,5.77,5.97,6.21,6.26,6.32,6.52,6.40,6.80,6.46
12/23/1999,5.47,5.75,5.96,6.24,6.27,6.33,6.54,6.41,6.83,6.48
12/22/1999,5.56,5.81,5.97,6.24,6.27,6.31,6.52,6.39,6.82,6.47
12/21/1999,5.59,5.86,5.97,6.21,6.25,6.29,6.50,6.38,6.83,6.46
12/20/1999,5.63,5.90,5.99,6.21,6.23,6.28,6.49,6.36,6.81,6.44
12/17/1999,5.44,5.78,5.93,6.15,6.17,6.22,6.42,6.30,6.74,6.38
12/16/1999,5.39,5.75,5.90,6.15,6.18,6.20,6.41,6.31,6.75,6.39
12/15/1999,5.35,5.71,5.85,6.10,6.12,6.14,6.34,6.25,6.68,6.34
12/14/1999,5.39,5.71,5.81,6.07,6.10,6.12,6.30,6.22,6.64,6.31
12/13/1999,5.39,5.67,5.74,5.96,5.99,6.01,6.18,6.11,6.52,6.20
12/10/1999,5.30,5.59,5.67,5.93,5.95,5.98,6.15,6.08,6.48,6.17
12/09/1999,5.25,5.58,5.67,5.96,5.99,6.03,6.22,6.14,6.55,6.22
12/08/1999,5.22,5.56,5.69,5.98,6.02,6.06,6.24,6.15,6.57,6.23
12/07/1999,5.22,5.55,5.68,5.95,6.01,6.03,6.20,6.11,6.54,6.21
12/06/1999,5.22,5.54,5.72,5.98,6.04,6.07,6.24,6.16,6.58,6.25
12/03/1999,5.25,5.54,5.71,5.99,6.03,6.08,6.27,6.17,6.60,6.27
12/02/1999,5.25,5.57,5.77,6.06,6.10,6.16,6.35,6.24,6.67,6.31
12/01/1999,5.27,5.58,5.73,6.04,6.11,6.14,6.32,6.21,6.65,6.30
11/30/1999,5.30,5.57,5.70,6.01,6.05,6.11,6.28,6.18,6.62,6.29
11/29/1999,5.36,5.58,5.72,6.04,6.10,6.14,6.32,6.21,6.66,6.31
11/26/1999,5.30,5.54,5.68,5.99,6.03,6.06,6.25,6.12,6.57,6.24
11/24/1999,5.29,5.52,5.65,5.97,6.00,6.02,6.22,6.09,6.53,6.22
11/23/1999,5.27,5.47,5.63,5.93,5.99,6.02,6.23,6.08,6.51,6.20
11/22/1999,5.27,5.47,5.63,5.95,5.98,6.02,6.23,6.09,6.51,6.20
11/19/1999,5.23,5.44,5.59,5.92,5.97,6.00,6.21,6.07,6.48,6.17
11/18/1999,5.23,5.46,5.58,5.90,5.94,5.99,6.20,6.06,6.49,6.17
