,experiment,horizon,forecast_model,policy,Gain,Final Value,Initial Value,num_stocks,initial_budget,trading_fee,status,total_runtime,forecast_time,solve_time,leftover_cash,penalty,total_trades,total_trading_costs
0,20180301_54_28_2_286985,54,GBM,Naive,0.02727324957634651,295915.87,288059.54999999993,28,286985.89,2,Complete,4.619473695755005,0.9461846351623535,0.2396249771118164,0.1099999999969441,,25,50
1,20180301_54_28_2_286985,54,GBM,Directional,0.024922971656381434,295238.8499999999,288059.54999999993,28,286985.89,2,Complete,329.9486811161041,1.1460037231445312,325.4886734485626,3699.879999999918,,35,70
2,20180301_54_28_2_286985,54,GBM,SeededDirectional,0.032181991536125346,297329.88,288059.54999999993,28,286985.89,2,Complete,331.4233009815216,1.2696473598480225,326.76946091651917,4.619999999993524,,42,84
3,20180312_51_30_4_145341,51,GBM,Naive,-0.032602598878913584,139701.82000000004,144409.96,30,145341.72,4,Complete,4.593240022659302,1.18680739402771,0.09712648391723633,0.12000000002785782,,26,104
4,20180312_51_30_4_145341,51,GBM,Directional,-0.06616025653632189,134855.76,144409.96,30,145341.72,4,Infeasible,31.346086978912354,1.1481528282165527,26.896999835968018,13649.790000000023,,32,128
5,20180312_51_30_4_145341,51,GBM,SeededDirectional,-0.030155710866480022,140055.17500000005,144409.96,30,145341.72,4,Complete,330.00309348106384,1.2808418273925781,325.3867266178131,16.325000000026648,,40,160
6,20180517_58_18_5_160895,58,GBM,Naive,0.06299234964750874,171768.87000000002,161589.94000000006,18,160895.51,5,Complete,5.052105188369751,1.0652990341186523,0.10409712791442871,0.13000000002011802,,16,80
7,20180517_58_18_5_160895,58,GBM,Directional,0.05435762275795113,170373.58500000002,161589.94000000006,18,160895.51,5,Complete,45.12635016441345,1.0000789165496826,40.26997494697571,68.95500000002721,,25,125
8,20180517_58_18_5_160895,58,GBM,SeededDirectional,0.06458842673003012,172026.78000000003,161589.94000000006,18,160895.51,5,Complete,54.82737731933594,0.9631283283233643,49.99242186546326,315.0300000000316,,26,130
9,20180709_36_20_2_165971,36,GBM,Naive,0.034502314759057524,171794.41999999995,166064.80000000002,20,165971.8,2,Complete,3.0906693935394287,0.500720739364624,0.08534622192382812,5.309999999968568,,15,30
10,20180709_36_20_2_165971,36,GBM,Directional,0.03303047966817744,171549.99999999997,166064.80000000002,20,165971.8,2,Complete,22.83767580986023,0.543583869934082,19.83972430229187,10271.729999999985,,32,64
11,20180709_36_20_2_165971,36,GBM,SeededDirectional,0.03330139800848809,171594.99,166064.80000000002,20,165971.8,2,Complete,17.038174390792847,0.5151453018188477,13.996330499649048,10746.859999999984,,29,58
12,20180921_67_28_6_259458,67,GBM,Naive,-0.17233992076419902,213577.70000000007,258050.02000000005,28,259458.73,6,Complete,6.4775965213775635,1.6633965969085693,0.09462642669677734,7.630000000066502,,21,126
13,20180921_67_28_6_259458,67,GBM,Directional,-0.15728574638358847,217462.4300000001,258050.02000000005,28,259458.73,6,Complete,47.99865412712097,1.691873550415039,41.61607480049133,2.4000000000742148,,34,204
14,20180921_67_28_6_259458,67,GBM,SeededDirectional,-0.14488181399869685,220663.26500000004,258050.02000000005,28,259458.73,6,Complete,57.25601649284363,1.742236614227295,50.77209734916687,15.445000000030632,,38,228
15,20180927_84_32_8_46330,84,GBM,Naive,-0.12242685689277188,40364.67000000001,45995.79,32,46330.45,8,Complete,9.089571714401245,2.856311559677124,0.1205911636352539,0.08000000000538421,,29,232
16,20180927_84_32_8_46330,84,GBM,Directional,-0.0994580156140379,41421.13999999999,45995.79,32,46330.45,8,Complete,165.38325095176697,3.080385208129883,156.13366532325745,159.49999999999045,,40,320
17,20180927_84_32_8_46330,84,GBM,SeededDirectional,-0.13181510742613622,39932.85,45995.79,32,46330.45,8,Complete,428.70240020751953,3.28489351272583,419.14932918548584,34.87999999999647,,40,320
18,20181026_89_37_7_277630,89,GBM,Naive,0.013304139622105565,281652.7899999999,277954.8399999999,37,277630.43,7,Complete,10.899734735488892,3.972616195678711,0.1213221549987793,0.1699999999120223,,33,231
19,20181026_89_37_7_277630,89,GBM,Directional,-0.0060637907942166554,276269.37999999995,277954.8399999999,37,277630.43,7,Complete,120.09498715400696,4.059810638427734,109.2709059715271,3.9399999999459396,,47,329
20,20181026_89_37_7_277630,89,GBM,SeededDirectional,0.0016083547960526491,278401.88999999996,277954.8399999999,37,277630.43,7,Complete,416.5651590824127,4.297388553619385,405.3944425582886,1.3699999999189458,,41,287
21,20181031_34_39_9_225333,34,GBM,Naive,-0.04579303130351132,218552.89999999997,229041.40000000002,39,225333.49,9,Complete,3.7456910610198975,0.8696937561035156,0.11197710037231445,0.06999999996332917,,31,279
22,20181031_34_39_9_225333,34,GBM,Directional,-0.039037396732643184,220100.22,229041.40000000002,39,225333.49,9,Complete,316.7585823535919,1.0194764137268066,313.00905442237854,8251.680000000024,,45,405
23,20181031_34_39_9_225333,34,GBM,SeededDirectional,-0.05088346473606947,217386.98000000004,229041.40000000002,39,225333.49,9,Complete,44.17185592651367,0.9769604206085205,40.41931962966919,5656.350000000008,,44,396
24,20181219_88_15_3_268002,88,GBM,Naive,0.24152457558661808,328428.32999999996,264536.30999999994,15,268002.62,3,Complete,9.43655276298523,2.0715224742889404,0.11630725860595703,1.98000000000593,,11,33
25,20181219_88_15_3_268002,88,GBM,Directional,0.2205132066747286,322870.06,264536.30999999994,15,268002.62,3,Complete,525.9260289669037,2.0940136909484863,516.6492850780487,898.8099999999804,,17,51
26,20181219_88_15_3_268002,88,GBM,SeededDirectional,0.23271440506598148,326097.72,264536.30999999994,15,268002.62,3,Complete,392.95706963539124,2.05612850189209,383.72666788101196,4567.019999999988,,22,66
27,20190129_89_13_4_277757,89,GBM,Naive,0.012406651227653106,283596.89,280121.51999999996,13,277757.3,4,Complete,9.171776533126831,1.8790521621704102,0.11041879653930664,0.18999999999505235,,11,44
28,20190129_89_13_4_277757,89,GBM,Directional,-0.011367352283394689,276937.27999999997,280121.51999999996,13,277757.3,4,Infeasible,84.93126344680786,1.9600152969360352,75.71138572692871,32.80999999997178,,18,72
29,20190129_89_13_4_277757,89,GBM,SeededDirectional,0.012692955543008647,283677.08999999997,280121.51999999996,13,277757.3,4,Complete,375.81457805633545,1.8335604667663574,366.55533814430237,6.609999999987849,,18,72
30,20190227_40_23_8_27684,40,GBM,Naive,0.05087948107809304,29200.62,27786.84,23,27684.78,8,Complete,4.2622411251068115,0.6630392074584961,0.11597847938537598,0.10000000000172804,,18,144
31,20190227_40_23_8_27684,40,GBM,Directional,0.07332355892213725,29824.27,27786.84,23,27684.78,8,Complete,40.53095746040344,0.753617525100708,36.31748032569885,35.40000000000282,,30,240
32,20190227_40_23_8_27684,40,GBM,SeededDirectional,0.06702237462050381,29649.18,27786.84,23,27684.78,8,Complete,43.44589066505432,0.6349194049835205,39.351914167404175,1551.2000000000016,,28,224
33,20190307_83_30_7_324631,83,GBM,Naive,0.08838048082628895,353930.22,325189.79000000004,30,324631.26,7,Complete,10.180485725402832,2.708672523498535,0.12776517868041992,2.619999999981246,,24,168
34,20190307_83_30_7_324631,83,GBM,Directional,0.07987506311314384,351164.34500000003,325189.79000000004,30,324631.26,7,Complete,1201.1988534927368,3.4878158569335938,1190.570167541504,8003.674999999998,,50,350
35,20190307_83_30_7_324631,83,GBM,SeededDirectional,0.07922062989739004,350951.53,325189.79000000004,30,324631.26,7,Complete,153.22016143798828,3.2537355422973633,142.68749952316284,1.139999999997599,,43,301
36,20190513_34_21_9_11781,34,GBM,Naive,0.028167148087859382,12184.120000000003,11850.33,21,11781.86,9,Complete,3.791811943054199,0.507084846496582,0.14478588104248047,0.9200000000015507,,8,72
37,20190513_34_21_9_11781,34,GBM,Directional,0.030534170778366215,12212.169999999996,11850.33,21,11781.86,9,Complete,15.40031886100769,0.5426738262176514,11.723153591156006,2615.2099999999973,,18,162
