,experiment,policy,Gain,Final Value,Initial Value,num_stocks,pct_variance,initial_budget,trading_fee,average_error,status,runtime,leftover_cash,penalty,total_trades,total_trading_costs
0,20_103007_102124_7,Directional,0.010531809,104091.85,103007,20,0.000195685,103007,7,8.017038108,Infeasible,7.770885468,1671.47,,11,77
1,20_103007_102124_7,DirP_0,0.016436262,104700.05,103007,20,0.000195685,103007,7,8.017038108,Complete,17.96765423,30.33,0,46,322
2,20_103007_102124_7,DirP_25.0,0.008371082,103869.28,103007,20,0.000195685,103007,7,8.017038108,Complete,16.85013008,351.26,0.25,24,168
3,20_103007_102124_7,DirP_50.0,0.008505636,103883.14,103007,20,0.000195685,103007,7,8.017038108,Complete,14.48705125,153.78,0.5,23,161
4,20_103007_102124_7,DirP_75.0,0.0080213,103833.25,103007,20,0.000195685,103007,7,8.017038108,Complete,14.27669811,702.53,0.75,29,203
5,20_103007_102124_7,DirP_500,0.008482142,103880.72,103007,20,0.000195685,103007,7,8.017038108,Complete,13.417696,198.38,5,23,161
6,20_103007_102124_7,Naive,0.004825303,103504.04,103007,20,0.000195685,103007,7,8.017038108,Complete,3.25856185,0.24,,16,112
7,20_105931_104738_9,Directional,-0.072545053,98246.23,105931,20,0.000235073,105931,9,8.476497741,Complete,10.26424789,928.02,,25,225
8,20_105931_104738_9,DirP_0,-0.024075577,103380.65,105931,20,0.000235073,105931,9,8.476497741,Complete,15.31941867,13.67,0,52,468
9,20_105931_104738_9,DirP_25.0,-0.072398165,98261.78999,105931,20,0.000235073,105931,9,8.476497741,Complete,14.10955071,540.7599157,0.25,26,234
10,20_105931_104738_9,DirP_50.0,-0.072097403,98293.65,105931,20,0.000235073,105931,9,8.476497741,Complete,14.44718003,335.73,0.5,26,234
11,20_105931_104738_9,DirP_75.0,-0.072082771,98295.2,105931,20,0.000235073,105931,9,8.476497741,Complete,14.19935727,337.28,0.75,26,234
12,20_105931_104738_9,DirP_500,-0.072097403,98293.65,105931,20,0.000235073,105931,9,8.476497741,Complete,13.60148668,335.73,5,26,234
13,20_105931_104738_9,Naive,-0.073087198,98188.8,105931,20,0.000235073,105931,9,8.476497741,Complete,3.216617346,0.03,,17,153
14,20_133900_133194_6,Directional,0.022115609,136861.28,133900,20,0.000285366,133900,6,7.443619361,Infeasible,8.854203224,5688.11,,9,54
15,20_133900_133194_6,DirP_0,0.066712024,142832.74,133900,20,0.000285366,133900,6,7.443619361,Complete,13.28078556,4.54,0,53,318
16,20_133900_133194_6,DirP_25.0,0.022394249,136898.59,133900,20,0.000285366,133900,6,7.443619361,Complete,11.47845459,766.77,0.25,24,144
17,20_133900_133194_6,DirP_50.0,0.022643913,136932.02,133900,20,0.000285366,133900,6,7.443619361,Complete,11.51035118,37,0.5,25,150
18,20_133900_133194_6,DirP_75.0,0.022643913,136932.02,133900,20,0.000285366,133900,6,7.443619361,Complete,11.63059878,37,0.75,25,150
19,20_133900_133194_6,DirP_500,0.022643913,136932.02,133900,20,0.000285366,133900,6,7.443619361,Complete,11.66875696,37,5,25,150
20,20_133900_133194_6,Naive,0.021698282,136805.4,133900,20,0.000285366,133900,6,7.443619361,Complete,3.331154346,0.04,,17,102
21,20_136604_136414_8,Directional,0.040550679,142143.385,136604,20,0.000132606,136604,8,6.33688182,Infeasible,9.168826818,795.94,,10,80
22,20_136604_136414_8,DirP_0,0.012683011,138336.55,136604,20,0.000132606,136604,8,6.33688182,Infeasible,14.07645488,28.65,0,24,192
23,20_136604_136414_8,DirP_25.0,0.039628232,142017.375,136604,20,0.000132606,136604,8,6.33688182,Complete,13.01835513,124.133,0.25,23,184
24,20_136604_136414_8,DirP_50.0,0.040865604,142186.405,136604,20,0.000132606,136604,8,6.33688182,Complete,12.91532731,277.163,0.5,23,184
25,20_136604_136414_8,DirP_75.0,0.040865604,142186.405,136604,20,0.000132606,136604,8,6.33688182,Complete,12.73191762,277.163,0.75,23,184
26,20_136604_136414_8,DirP_500,0.040865604,142186.405,136604,20,0.000132606,136604,8,6.33688182,Complete,12.62360358,277.163,5,23,184
27,20_136604_136414_8,Naive,0.042863452,142459.319,136604,20,0.000132606,136604,8,6.33688182,Complete,3.378823042,0.15,,19,152
