,experiment,policy,Gain,Final Value,Initial Value,num_stocks,pct_variance,initial_budget,trading_fee,average_error,status,runtime,leftover_cash,penalty,total_trades,total_trading_costs
0,3_120379_120283_6,ColGen_True,0.016774437401872365,122398.29,120379.0,3,0.0005181660437625014,120379,6,5.56025764754552,Complete,9.346988201141357,65.0399999999936,,0,0
1,3_120379_120283_6,ColGen_False,0.016973807723938507,122422.29,120379.0,3,0.0005181660437625014,120379,6,5.56025764754552,Complete,9.311101198196411,95.0399999999936,,0,0
2,3_120379_120283_6,DirP_0,0.19266292293506299,143571.56999999995,120379.0,3,0.0005181660437625014,120379,6,5.56025764754552,Complete,11.737046718597412,108.56999999994878,0.0,18,108
3,3_120379_120283_6,DirP_25.0,0.016923217504714254,122416.2,120379.0,3,0.0005181660437625014,120379,6,5.56025764754552,Complete,9.934261083602905,180.5499999999936,0.25,2,12
4,3_120379_120283_6,Naive,0.0167564110019189,122396.12,120379.0,3,0.0005181660437625014,120379,6,5.56025764754552,Complete,3.2719454765319824,28.759999999993596,,2,12
5,3_120379_120283_6,Directional,0.016973807723938507,122422.29,120379.0,3,0.0005181660437625014,120379,6,5.56025764754552,Complete,9.317831039428711,95.0399999999936,,0,0
6,3_181809_181670_3,ColGen_True,0.05463662414951967,191742.43000000002,181809.0,3,0.00011999325504727087,181809,3,4.2441357162641875,Complete,7.417895317077637,62.30000000001394,,3,9
7,3_181809_181670_3,ColGen_False,0.05456770566913626,191729.9,181809.0,3,0.00011999325504727087,181809,3,4.2441357162641875,Complete,9.497212886810303,11.440000000013981,,3,9
8,3_181809_181670_3,DirP_0,0.08729397334565372,197679.82999999996,181809.0,3,0.00011999325504727087,181809,3,4.2441357162641875,Complete,10.6441650390625,33.75999999999419,0.0,21,63
9,3_181809_181670_3,DirP_25.0,0.054629858807869865,191741.2,181809.0,3,0.00011999325504727087,181809,3,4.2441357162641875,Complete,9.84524655342102,61.07000000001398,0.25,3,9
10,3_181809_181670_3,Naive,0.054583601471874535,191732.79000000004,181809.0,3,0.00011999325504727087,181809,3,4.2441357162641875,Complete,3.3221495151519775,7.590000000014015,,3,9
11,3_181809_181670_3,Directional,0.05459713215517384,191735.25,181809.0,3,0.00011999325504727087,181809,3,4.2441357162641875,Complete,9.449008226394653,32.450000000013915,,2,6
12,3_20506_20471_3,ColGen_True,0.06603872037452446,21860.19,20506.0,3,0.00029795356057445355,20506,3,3.490062161912774,Complete,9.47484016418457,121.1500000000002,,3,9
13,3_20506_20471_3,ColGen_False,0.06603872037452446,21860.19,20506.0,3,0.00029795356057445355,20506,3,3.490062161912774,Complete,9.645058155059814,121.1500000000002,,3,9
14,3_20506_20471_3,DirP_0,0.08285574953672101,22205.04,20506.0,3,0.00029795356057445355,20506,3,3.490062161912774,Complete,12.01793384552002,596.2000000000044,0.0,19,57
15,3_20506_20471_3,DirP_25.0,0.06428703794011512,21824.27,20506.0,3,0.00029795356057445355,20506,3,3.490062161912774,Complete,9.972598314285278,221.43000000000018,0.25,3,9
16,3_20506_20471_3,Naive,0.06894664976104553,21919.82,20506.0,3,0.00029795356057445355,20506,3,3.490062161912774,Complete,3.3790345191955566,1.9500000000001592,,3,9
17,3_20506_20471_3,Directional,0.06428703794011512,21824.27,20506.0,3,0.00029795356057445355,20506,3,3.490062161912774,Complete,9.687962055206299,221.43000000000018,,3,9
18,3_220500_220391_5,ColGen_True,-0.0719794104308391,204628.53999999998,220500.0,3,0.0002460667997574026,220500,5,7.718059332415051,Complete,6.565445899963379,9.339999999982524,,2,10
19,3_220500_220391_5,ColGen_False,-0.07193854875283452,204637.55,220500.0,3,0.0002460667997574026,220500,5,7.718059332415051,Complete,9.534538507461548,4.799999999982532,,1,5
20,3_220500_220391_5,DirP_0,-0.12110240362811799,193796.91999999998,220500.0,3,0.0002460667997574026,220500,5,7.718059332415051,Infeasible,11.236809968948364,37.51999999998952,0.0,3,15
21,3_220500_220391_5,DirP_25.0,-0.07193854875283452,204637.55,220500.0,3,0.0002460667997574026,220500,5,7.718059332415051,Complete,9.964081048965454,4.799999999982532,0.25,1,5
22,3_220500_220391_5,Naive,-0.07193854875283452,204637.55,220500.0,3,0.0002460667997574026,220500,5,7.718059332415051,Complete,3.4157803058624268,4.799999999982532,,1,5
23,3_220500_220391_5,Directional,-0.07193854875283452,204637.55,220500.0,3,0.0002460667997574026,220500,5,7.718059332415051,Complete,9.59533429145813,4.799999999982532,,1,5
24,3_343066_342903_4,ColGen_True,0.08989891157969607,373907.26,343066.0,3,0.00043997950566995037,343066,4,4.452727603678723,Complete,13.788537740707397,53.96000000003494,,3,12
25,3_343066_342903_4,ColGen_False,0.08983676610331541,373885.94,343066.0,3,0.00043997950566995037,343066,4,4.452727603678723,Complete,9.752981424331665,36.64000000003489,,3,12
26,3_343066_342903_4,DirP_0,0.17975439128330992,404733.62,343066.0,3,0.00043997950566995037,343066,4,4.452727603678723,Complete,10.639157056808472,51.32000000001629,0.0,9,36
27,3_343066_342903_4,DirP_25.0,0.08991444794879144,373912.5900000001,343066.0,3,0.00043997950566995037,343066,4,4.452727603678723,Complete,10.28348684310913,55.29000000003492,0.25,4,16
28,3_343066_342903_4,Naive,0.08977097701316947,373863.37,343066.0,3,0.00043997950566995037,343066,4,4.452727603678723,Complete,3.5830249786376953,16.820000000034952,,3,12
29,3_343066_342903_4,Directional,0.08988457031591596,373902.34,343066.0,3,0.00043997950566995037,343066,4,4.452727603678723,Complete,9.709463834762573,53.04000000003492,,3,12
