,experiment,horizon,forecast_model,policy,Gain,Final Value,Initial Value,num_stocks,initial_budget,trading_fee,status,total_runtime,forecast_time,solve_time,leftover_cash,penalty,total_trades,total_trading_costs
0,20180315_42_20_2_240857,42,GBM,Naive,-0.021247791930253564,236507.69000000006,241642.05,20,240857.34,2,Complete,3.315169095993042,0.45372462272644043,0.16704034805297852,1.1600000000180444,,20,40
1,20180315_42_20_2_240857,42,GBM,Directional,-0.020504916259401068,236687.19999999998,241642.05,20,240857.34,2,Complete,35.75788164138794,0.5755324363708496,32.4899468421936,16.139999999972133,,25,50
2,20180315_42_20_2_240857,42,GBM,SeededDirectional,-0.016037357736370755,237766.75,241642.05,20,240857.34,2,Complete,24.199158430099487,0.5801396369934082,20.91733741760254,12.769999999980712,,30,60
3,20180420_58_28_6_74862,58,GBM,Naive,0.05096934405797945,78608.24,74795.94000000002,28,74862.12,6,Complete,5.170161962509155,1.262709379196167,0.09528779983520508,4.5,,21,126
4,20180420_58_28_6_74862,58,GBM,Directional,0.03692486517316316,77557.77000000002,74795.94000000002,28,74862.12,6,Complete,85.5067503452301,1.328765869140625,80.34494519233704,14.250000000007276,,37,222
5,20180420_58_28_6_74862,58,GBM,SeededDirectional,0.04493786694839296,78157.11,74795.94000000002,28,74862.12,6,Complete,35.93400597572327,1.271890640258789,30.782076597213745,3570.16,,35,210
6,20180511_42_22_4_61672,42,GBM,Naive,0.02258242879397223,63194.05,61798.49,22,61672.71,4,Complete,3.6184654235839844,0.6225485801696777,0.09756588935852051,0.17999999999847205,,19,76
7,20180511_42_22_4_61672,42,GBM,Directional,0.009501526655424522,62385.669999999984,61798.49,22,61672.71,4,Complete,24.6639666557312,0.6567544937133789,21.14739489555359,43.349999999988995,,26,104
8,20180511_42_22_4_61672,42,GBM,SeededDirectional,0.01031052700478585,62435.664999999986,61798.49,22,61672.71,4,Complete,21.79085946083069,0.6449382305145264,18.248587369918823,86.88499999999476,,25,100
9,20180514_50_15_7_284743,50,GBM,Naive,-0.0007410499529768305,281917.66000000003,282126.73000000004,15,284743.9,7,Complete,4.153891086578369,0.5883686542510986,0.09707832336425781,2.90000000001055,,14,98
10,20180514_50_15_7_284743,50,GBM,Directional,0.016333369050142463,286734.80999999994,282126.73000000004,15,284743.9,7,Complete,22.30404829978943,0.5901045799255371,18.223082542419434,23.349999999996726,,20,140
11,20180514_50_15_7_284743,50,GBM,SeededDirectional,0.0041264434603553325,283290.91,282126.73000000004,15,284743.9,7,Complete,21.59281325340271,0.5912759304046631,17.48207998275757,2610.5099999999993,,22,154
12,20180524_71_15_2_308252,71,GBM,Naive,0.11223497990071434,342068.67999999993,307550.7299999999,15,308252.25,2,Complete,6.230057716369629,1.015787124633789,0.10587191581726074,1.709999999973661,,14,28
13,20180524_71_15_2_308252,71,GBM,Directional,0.11286537996511999,342262.55999999994,307550.7299999999,15,308252.25,2,Complete,621.1842486858368,1.3885645866394043,614.6987268924713,1250.2799999999866,,30,60
14,20180524_71_15_2_308252,71,GBM,SeededDirectional,0.1061896032566727,340209.42,307550.7299999999,15,308252.25,2,Infeasible,40.97084617614746,1.3841698169708252,34.45935010910034,10614.760000000011,,21,42
15,20180618_36_36_7_59133,36,GBM,Naive,0.041103437239955624,61417.18,58992.390000000014,36,59133.19,7,Complete,3.770927667617798,0.8883547782897949,0.17794179916381836,0.0100000000052205,,27,189
16,20180618_36_36_7_59133,36,GBM,Directional,0.032975778740274915,60937.71000000002,58992.390000000014,36,59133.19,7,Complete,25.287703275680542,0.8447308540344238,21.783117055892944,10.950000000016189,,43,301
17,20180618_36_36_7_59133,36,GBM,SeededDirectional,0.036733382051481515,61159.38000000001,58992.390000000014,36,59133.19,7,Complete,22.774433851242065,0.8241481781005859,19.24519991874695,61.220000000012305,,43,301
18,20180724_43_24_3_265138,43,GBM,Naive,0.0236620910750812,273304.43999999994,266986.97,24,265138.94,3,Complete,4.144076347351074,0.7775261402130127,0.09457778930664062,0.9199999999459578,,20,60
19,20180724_43_24_3_265138,43,GBM,Directional,0.053847384387335634,281363.52,266986.97,24,265138.94,3,Complete,18.768226385116577,0.7797760963439941,14.68075704574585,3603.1300000000047,,39,117
20,20180724_43_24_3_265138,43,GBM,SeededDirectional,0.03299550536117944,275796.34,266986.97,24,265138.94,3,Complete,323.1614489555359,0.8810091018676758,319.0097517967224,2.850000000002183,,41,123
21,20180813_67_27_4_172004,67,GBM,Naive,-0.02361099252072889,169239.85,173332.4,27,172004.43,4,Complete,7.1010026931762695,1.8524889945983887,0.10456204414367676,0.4199999999987085,,25,100
